Dia - Horário;medição;Catolé;Jardim Tavares;Bodocongó
Quinta - Tarde;1;19.2ms;10ms;87ms
Quinta - Tarde;2;23.17ms;10ms;44ms
Quinta - Noite;1;30.49ms;41ms;154ms
Quinta - Noite;2;69.37ms;12ms;138ms
Sexta - Tarde;1;1056.96ms;12ms;65ms
Sexta - Tarde;2;91.55ms;13ms;57ms
Sexta - Noite;1;294.66ms;13ms;44ms
Sexta - Noite;2;31.53ms;11ms;22ms
Domingo - Tarde;1;39.85ms;3ms;81ms
Domingo - Tarde;2;64.65ms;3ms;88ms
Domingo - Noite;1;887.24ms;8ms;167ms
Domingo - Noite;2;252.10ms;6ms;195ms
